chemical_name,chemical_type,who_hazard_class,toxicity_score,toxicity_intensity,human_health_effects,environmental_effects,regulatory_status,recommended_alternative
Monocrotophos Variant 207,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 208,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 208,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 208,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 208,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 208,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 209,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 209,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 209,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 209,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 209,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 210,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 210,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 210,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 210,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 210,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 211,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 211,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 211,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 211,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 211,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 212,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 212,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 212,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 212,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 212,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 213,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 213,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 213,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 213,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 213,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 214,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 214,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 214,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 214,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 214,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 215,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 215,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 215,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 215,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 215,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 216,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 216,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 216,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 216,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 216,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 217,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 217,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 217,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 217,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 217,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 218,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 218,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 218,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 218,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 218,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 219,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 219,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 219,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 219,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 219,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 220,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 220,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 220,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 220,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 220,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 221,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 221,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 221,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 221,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 221,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 222,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 222,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 222,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 222,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 222,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 223,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 223,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 223,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 223,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 223,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 224,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 224,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 224,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 224,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 224,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 225,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 225,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 225,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 225,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 225,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 226,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 226,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 226,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 226,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 226,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 227,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 227,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 227,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 227,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 227,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 228,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 228,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 228,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 228,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 228,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 229,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 229,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 229,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 229,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 229,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 230,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 230,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 230,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 230,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 230,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 231,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 231,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 231,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 231,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 231,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 232,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 232,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 232,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 232,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 232,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 233,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 233,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 233,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 233,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 233,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 234,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 234,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 234,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 234,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 234,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 235,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 235,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 235,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 235,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 235,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 236,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 236,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 236,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 236,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 236,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 237,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 237,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 237,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 237,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 237,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 238,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 238,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 238,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 238,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 238,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 239,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 239,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 239,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 239,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 239,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 240,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 240,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 240,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 240,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 240,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 241,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 241,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 241,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 241,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 241,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 242,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 242,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 242,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 242,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 242,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 243,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 243,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 243,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 243,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 243,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 244,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 244,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 244,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 244,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 244,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 245,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 245,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 245,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 245,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 245,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 246,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 246,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 246,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 246,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 246,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 247,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 247,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 247,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 247,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 247,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 248,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 248,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 248,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 248,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 248,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 249,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
